,Day,Weekday,Race Number,Post Position,M/L Odds,Final Odds,Change In Odds,Distance,FieldSize,Favorite,HalfMileTime,FinalTime,WinnersTrainer,WinnersJockey,ExactaPayout,SuperfectaPayout,TrifectaPayout
114,13,Sunday,1,6,1.6,1.41,-0.19,8.5,6,Y,48.42,106.03,Jacobson David                                                                                                         ,Ortiz Jr. Irad                                                                                                         ,11.41,5.96,22.57
115,13,Sunday,2,2,2.0,0.52,-1.48,4.5,8,Y,46.42,53.41,Ward Wesley                                                                                                            ,Velazquez John                                                                                                         ,4.46,4.5,6.55
116,13,Sunday,3,9,3.0,2.26,-0.74,8.0,12,Y,46.98,95.03,Brown Chad                                                                                                             ,Ortiz Jr. Irad                                                                                                         ,11.17,42.82,44.21
117,13,Sunday,4,8,20.0,29.46,9.46,8.5,11,N,47.65,107.02,Greenhill Jeffrey                                                                                                      ,Machado Luan                                                                                                           ,137.75,749.02,332.04
118,13,Sunday,5,10,8.0,24.59,16.59,5.5,12,N,43.38,61.46,Walden William                                                                                                         ,Rosario Joel                                                                                                           ,113.12,295.56,303.59
119,13,Sunday,6,7,1.8,0.67,-1.13,7.0,6,Y,46.31,87.39,Cox Brad                                                                                                               ,Geroux Florent                                                                                                         ,4.74,4.25,5.26
120,13,Sunday,7,8,12.0,6.06,-5.94,9.0,8,N,47.35,106.91,Schultz Lindsay                                                                                                        ,Geroux Florent                                                                                                         ,76.07,107.79,157.5
121,13,Sunday,8,5,4.5,3.03,-1.47,6.0,11,N,45.04,71.01,Jacobson David                                                                                                         ,Ortiz Jr. Irad                                                                                                         ,84.34,1436.64,378.89
122,13,Sunday,9,14,4.0,6.07,2.07,8.0,10,N,47.14,95.95,Walsh Brendan                                                                                                          ,Ortiz Jr. Irad                                                                                                         ,16.71,103.43,47.87
123,14,Wednesday,1,4,20.0,12.04,-7.96,6.0,6,N,45.85,73.15,Gorostieta Cirilo                                                                                                      ,Cannon Declan                                                                                                          ,63.01,92.93,117.14
124,14,Wednesday,2,8,3.5,9.86,6.36,4.5,9,N,46.32,53.29,Asmussen Steven                                                                                                        ,Asmussen Keith                                                                                                         ,19.94,41.32,33.18
125,14,Wednesday,3,3,6.0,7.61,1.61,8.5,9,N,47.68,105.76,Romans Dale                                                                                                            ,Garcia Martin                                                                                                          ,64.83,291.93,300.43
126,14,Wednesday,4,2,20.0,26.87,6.87,8.0,10,N,47.22,96.14,McPeek Kenneth                                                                                                         ,Hernandez Jr. Brian                                                                                                    ,84.75,251.34,225.18
127,14,Wednesday,5,7,8.0,6.35,-1.65,6.0,10,N,45.47,70.75,Davis Christopher                                                                                                      ,Rosario Joel                                                                                                           ,33.65,116.78,188.02
128,14,Wednesday,6,9,6.0,4.63,-1.37,12.0,9,N,48.06,149.78,Lynch Brian                                                                                                            ,Velazquez John                                                                                                         ,26.93,383.6,217.11
129,14,Wednesday,7,2,3.5,1.78,-1.72,6.0,6,N,45.14,70.71,Brown Chad                                                                                                             ,Ortiz Jr. Irad                                                                                                         ,6.26,1.8,7.06
130,14,Wednesday,8,6,12.0,12.88,0.88,8.0,12,N,47.47,95.82,Maker Michael                                                                                                          ,Garcia Martin                                                                                                          ,62.63,244.85,141.19
131,15,Thursday,1,5,3.0,1.11,-1.89,8.5,5,Y,49.91,106.81,Miller Darrin                                                                                                          ,Prat Flavien                                                                                                           ,24.14,0.0,21.49
132,15,Thursday,2,12,3.5,6.62,3.12,5.5,12,N,45.08,63.29,Casse Mark                                                                                                             ,Ortiz Jr. Irad                                                                                                         ,42.45,54.67,112.38
133,15,Thursday,3,5,3.0,2.22,-0.78,8.5,4,N,49.11,105.82,Hiles Rick                                                                                                             ,Saez Luis                                                                                                              ,7.22,0.0,0.0
134,15,Thursday,4,8,6.0,1.97,-4.03,6.0,8,Y,47.26,73.46,Claire Alexis                                                                                                          ,Lanerie Corey                                                                                                          ,14.53,91.28,50.58
135,15,Thursday,5,9,2.5,4.51,2.01,12.0,10,N,49.03,149.03,Clement Christophe                                                                                                     ,Ortiz Jose                                                                                                             ,38.71,153.83,89.61
136,15,Thursday,6,7,4.0,7.8,3.8,8.5,7,N,47.23,105.88,Desormeaux J.                                                                                                          ,Riquelme Jose                                                                                                          ,35.03,54.93,61.32
137,15,Thursday,7,7,3.0,1.87,-1.13,7.0,5,N,46.09,82.72,Wilkes Ian                                                                                                             ,Ortiz Jr. Irad                                                                                                         ,11.47,0.0,18.5
138,15,Thursday,8,9,2.0,2.33,0.33,9.5,9,Y,47.92,115.3,Clement Christophe                                                                                                     ,Rosario Joel                                                                                                           ,16.63,19.42,24.63
139,15,Thursday,9,10,4.0,2.57,-1.43,6.0,10,Y,46.52,72.29,Stewart Dallas                                                                                                         ,Hernandez Jr. Brian                                                                                                    ,117.48,757.95,471.58
140,16,Friday,1,7,1.4,1.06,-0.34,5.5,11,Y,45.18,63.35,Ward Wesley                                                                                                            ,Ortiz Jr. Irad                                                                                                         ,51.98,406.49,105.71
141,16,Friday,2,7,0.8,0.66,-0.14,4.5,8,Y,45.81,52.17,Ward Wesley                                                                                                            ,Rosario Joel                                                                                                           ,67.06,280.02,420.15
142,16,Friday,3,9,4.5,3.76,-0.74,8.0,9,N,47.64,95.35,Walsh Brendan                                                                                                          ,Ortiz Jr. Irad                                                                                                         ,21.3,66.35,92.61
143,16,Friday,4,5,2.5,1.11,-1.39,6.0,10,Y,45.95,70.36,McCarthy Michael                                                                                                       ,Prat Flavien                                                                                                           ,26.12,234.19,65.62
144,16,Friday,5,10,3.5,5.31,1.81,9.5,10,N,48.43,114.45,Pletcher Todd                                                                                                          ,Ortiz Jr. Irad                                                                                                         ,27.3,148.83,127.26
145,16,Friday,6,2,3.0,2.34,-0.66,6.0,8,N,45.53,69.68,Brisset Rodolphe                                                                                                       ,Prat Flavien                                                                                                           ,20.4,110.3,91.2
146,16,Friday,7,12,15.0,10.98,-4.02,6.0,11,N,45.18,71.26,Catalano Wayne                                                                                                         ,Ortiz Jose                                                                                                             ,110.8,180.12,217.27
147,16,Friday,8,1,15.0,3.46,-11.54,12.0,6,N,49.67,147.8,Cox Brad                                                                                                               ,Concepcion Axel                                                                                                        ,24.39,23.65,33.91
148,16,Friday,9,5,4.5,3.82,-0.68,7.0,12,Y,46.35,87.85,Brisset Rodolphe                                                                                                       ,Prat Flavien                                                                                                           ,47.98,202.44,132.6
149,16,Friday,10,4,8.0,12.65,4.65,9.5,11,N,48.42,114.68,Kelly Blake                                                                                                            ,Ruiz Jorge                                                                                                             ,73.1,246.8,134.6
